Name,Gender,Species,Weapon,Personality,Hair,Eye
Hermione Granger,Female,Wizard,Wand,ISTJ,Brown,Brown
Xaden Riorson,Male,Human,Magic,ENTJ,Black,Brown
Eris Mourn,Female,Human,Gun,INTJ,None,Green
Voldermort,Male,Wizard,Wand,ENTJ,None,Red
Stevonnie,Nonbinary,Human,Sword,INFP,Brown,Brown
Katniss Everdeen,Female,Human,Bow,ISTP,Brown,Brown
Draco Malfoy,Male,Wizard,Wand,ESTJ,Blonde,Blue
Jon Snow,Male,Human,Sword,ISFP,Black,Brown
Rowan Whitehorn,Male,Fae,Sword,ISTJ,White,Green
Aelin Galathynius,Female,Fae,Dagger,ENTJ,Blonde,Green
Voilet Sorrengail,Female,Human,Poison,INFJ,Brown,Hazel
Violet Kiramman,Female,Human,Gun,ESTP,Red,Blue
Gimli,Male,Dwarf,Ax,ESTP,Red,Brown
Jason Voorhees,Male,Human,Ax,ISTJ,Red,Brown
Jinx,Female,Human,Gun,ENFP,Blue,Blue
Cosmo,Male,Fae,Magic,ENFP,Green,Green
Maya,Female,Human,Gun,INTP,Blue,Blue
Lilith,Female,Human,Gun,ENFJ,Red,Brown
Remus Lupin,Male,Werewolf,Wand,INFJ,Brown,Brown
